question,model_answer,category
"OSI 1계층(물리 계층)의 역할과 발생할 수 있는 장애 예시는 무엇인가요?","물리 계층은 데이터 전송의 물리적 매체 역할을 합니다 [21]. 장애 예시로는 랜 케이블이 빠져있거나 단선된 경우가 있습니다 [10].","네트워크(1계층)"
"허브(Hub)의 동작 방식과 단점은 무엇인가요?","허브는 1계층 장비로 데이터를 연결된 모든 기기에 브로드캐스트합니다 [22]. 목적지를 구별하지 않기 때문에 네트워크 효율성이 떨어지고 데이터 충돌이 발생할 가능성이 큽니다 [22, 23].","네트워크(1계층)"
"CSMA/CD의 충돌 관리 방식은 무엇인가요?","캐리어 감지, 다중 접근, 충돌 검출을 수행하며, 잼 신호 발생 이후 임의 시간 대기 후 재전송하여 충돌을 관리합니다 [21].","네트워크(1계층)"
"콜리전 도메인(Collision Domain)이란 무엇인가요?","네트워크에서 데이터 패킷이 충돌할 수 있는 네트워크 세그먼트를 의미합니다 [21].","네트워크(1계층)"
"NIC(네트워크 인터페이스 카드)의 역할은 무엇인가요?","PC나 서버의 디지털 데이터를 외부로 전송할 수 있는 신호로 변환하고, 고유한 MAC 주소가 할당되어 같은 네트워크 내에서 장비를 구분하는 통신의 출발점 역할을 합니다 [24].","네트워크(1계층)"
"OSI 2계층(데이터 링크 계층)의 주요 역할은 무엇인가요?","데이터 링크 계층은 P2P 간 신뢰성 있는 전송을 보장하고 목적지 MAC 주소를 확인하여 프레임 단위로 재구성하며, 에러 검출과 흐름 제어를 담당합니다 [25-27].","네트워크(2계층)"
"스위치(Switch)와 허브(Hub)의 차이점은 무엇인가요?","스위치는 2계층 장비로 MAC 주소를 기반으로 정확한 목적지에만 데이터를 유니캐스트하므로 충돌이 거의 없고 네트워크 성능이 뛰어납니다 [23, 28]. 반면 허브는 브로드캐스트 방식을 사용합니다 [22].","네트워크(2계층)"
"스위치는 연결된 장비들의 MAC 주소를 어떻게 관리하나요?","스위치는 MAC 주소와 해당 포트를 매핑해둔 CAM 테이블을 사용합니다 [28]. 처음 데이터를 받으면 목적지 포트를 몰라 모든 포트로 플러딩(Flooding)을 한 뒤 응답을 기반으로 테이블에 기록합니다 [21, 23, 28].","네트워크(2계층)"
"VLAN(가상 LAN)을 사용하는 이유는 무엇인가요?","물리적 장비 증설 없이 네트워크를 분리하여 보안을 강화하고, 브로드캐스트 패킷이 퍼지는 범위를 축소시켜 네트워크 성능을 향상시키기 위해 사용합니다 [29, 30].","네트워크(2계층)"
"STP(Spanning Tree Protocol)의 역할은 무엇인가요?","스위치 간에 루프가 생겨 패킷이 무한히 돌면서 네트워크가 마비되는 것을 막아주는 프로토콜입니다 [31].","네트워크(2계층)"
"캡슐화(Encapsulation)와 역캡슐화(Decapsulation)의 차이는 무엇인가요?","캡슐화는 송신 측에서 데이터를 보낼 때 상위 계층에서 하위 계층으로 내려가며 헤더를 덧붙이는 과정이고, 역캡슐화는 수신 측에서 하위 계층에서 상위 계층으로 올라가며 헤더를 벗겨내는 과정입니다 [10, 24].","네트워크(2/3/4계층 공통)"
"OSI 3계층(네트워크 계층)의 역할은 무엇인가요?","네트워크 계층은 IP 주소 기반으로 라우터를 통해 목적지까지 이동할 최적의 경로를 선택하고 패킷을 전달하는 계층입니다 [26, 27, 32].","네트워크(3계층)"
"MAC 주소와 IP 주소의 차이점은 무엇인가요?","MAC 주소는 같은 네트워크(LAN) 구간 내에서 장비를 찾아갈 때 사용하는 물리적 주소이고, IP 주소는 다른 네트워크로 넘어가기 위한 라우팅 테이블에서 목적지를 찾을 때 사용하는 논리적 주소입니다 [24, 30].","네트워크(3계층)"
"ARP(주소 결정 프로토콜)는 언제 사용하나요?","목적지의 IP 주소는 알고 있지만 MAC 주소를 모를 때 네트워크에 브로드캐스트를 보내어 수신자의 MAC 주소를 알아낼 때 사용합니다 [30, 33].","네트워크(3계층)"
"DHCP의 역할과 주소 할당 과정은 무엇인가요?","DHCP는 IP 주소를 동적으로 할당하는 프로토콜입니다 [33]. Discover, Offer, Request, ACK의 4단계를 거쳐 IP를 할당받습니다 [33].","네트워크(3계층)"
"라우터와 게이트웨이의 차이점은 무엇인가요?","라우터는 IP 주소를 기반으로 최적의 경로를 찾아 패킷을 전달하는 장비이며, 게이트웨이는 내부 네트워크에서 외부의 다른 네트워크로 나갈 때 통과해야 하는 관문 역할의 개념 및 주소입니다 [30, 34].","네트워크(3계층)"
"사설 IP와 공인 IP의 차이, 그리고 NAT를 사용하는 이유는 무엇인가요?","공인 IP는 인터넷 상 유일하게 식별 가능하지만 사설 IP는 내부 네트워크에서만 사용됩니다 [34-36]. NAT는 제한된 공인 IP를 절약하고 내부 네트워크 구조를 외부에 숨겨 보안을 강화하기 위해 사설 IP를 공인 IP로 변환합니다 [33, 37].","네트워크(3계층)"
"TTL(Time To Live)이란 무엇인가요?","패킷이 네트워크 상에서 무한 루프에 빠져 대역폭을 고갈시키는 것을 방지하기 위한 수명 값으로, 라우터를 지날 때마다 값이 1씩 감소하며 0이 되면 패킷은 폐기됩니다 [37].","네트워크(3계층)"
"BGP와 OSPF 라우팅 프로토콜의 차이점은 무엇인가요?","OSPF는 내부 네트워크(AS 내부)에서 사용하는 라우팅 프로토콜이며, BGP는 서로 다른 회사나 통신사(ISP) 간(AS 외부)을 연결할 때 트래픽 제어를 위해 사용하는 프로토콜입니다 [33, 38].","네트워크(3계층)"
"SD-WAN의 장점은 무엇인가요?","소프트웨어로 WAN을 관리하는 기술로, 기존 MPLS 전용선 대비 유연하고 비용 효율적이며 각 지점에서 클라우드로 직접 트래픽을 전송하여 속도를 높일 수 있습니다 [39].","네트워크(3계층)"
"ICMP 프로토콜의 목적은 무엇인가요?","네트워크 문제를 진단하고 해결하는 데 사용되며 ping이나 tracert 같은 명령어가 이를 활용합니다 [33].","네트워크(3계층)"
"TCP와 UDP의 차이점을 설명해주세요.","TCP는 연결형 서비스로 3-way handshake를 통해 높은 신뢰성을 보장하지만 속도가 비교적 느립니다 [37, 40, 41]. UDP는 비연결형으로 신뢰성은 낮지만 데이터 수신 여부를 확인하지 않아 속도가 빠릅니다 [37, 40, 41].","네트워크(4계층)"
"TCP의 흐름 제어와 혼잡 제어란 무엇인가요?","흐름 제어는 송수신 측 사이의 데이터 처리 속도 차이를 조절하는 기법(슬라이딩 윈도우 등)이며, 혼잡 제어는 네트워크 내의 패킷 수를 조절하여 라우터 오버플로우를 방지하는 기능입니다 [40, 42].","네트워크(4계층)"
"TCP 오류 제어 방식(ARQ)에는 어떤 것들이 있나요?","패킷을 하나씩 확인하는 Stop-and-Wait, 오류 시 전부 재전송하는 Go-Back-N, 오류가 난 패킷만 재전송하는 Selective Repeat 방식이 있습니다 [43].","네트워크(4계층)"
"TCP의 3-way handshake와 4-way handshake의 차이는 무엇인가요?","3-way handshake는 통신 장치가 서로 연결이 잘 되었는지 확인하여 연결을 수립하는 과정이며, 4-way handshake는 통신 연결을 해제하는 과정입니다 [27, 44].","네트워크(4계층)"
"TCP 연결 종료 시 TIME-WAIT 상태를 두는 이유는 무엇인가요?","서버에서 전송한 FIN 패킷보다 먼저 보낸 패킷이 라우팅 지연 등으로 늦게 도착할 경우를 대비해, 잉여 패킷을 기다리거나 마지막 ACK 전송 실패 시 재전송을 처리하기 위함입니다 [43, 45].","네트워크(4계층)"
"초기 Sequence Number(ISN)를 난수로 설정하는 이유는 무엇인가요?","포트 번호는 유한하여 재사용되므로, 난수가 아닌 순차 번호를 사용하면 과거의 Connection에서 온 패킷으로 잘못 인식할 수 있는 문제를 방지하기 위해서입니다 [45].","네트워크(4계층)"
"웰논 포트(Well-known Port)와 서비스 포트란 무엇인가요?","웰논 포트는 전 세계적으로 용도가 약속된 포트(예: 80, 443)이며, 서비스 포트는 서버의 프로세스가 실제로 클라이언트 요청을 기다리는(Listen) 포트입니다 [46].","네트워크(4계층)"
"HTTP 프로토콜의 주요 특징 두 가지는 무엇인가요?","상태 정보를 저장하지 않는 Stateless 특징과, 클라이언트 요청에 응답한 후 연결을 끊는 Connectionless 특징이 있습니다 [47].","웹/HTTP"
"HTTP와 HTTPS의 차이점은 무엇인가요?","HTTP는 평문 데이터를 전송하는 반면, HTTPS는 HTTP에 SSL/TLS 프로토콜을 적용하여 데이터를 암호화하여 전송함으로써 중간에 정보가 가로채어지는 것을 방지합니다 [47-49].","웹/HTTP"
